Spanish,English
de,from
que,that
no,no
a,to
la,the
el,the
y,and
es,it is
en,in
lo,the
un,a
por,by
qué,that
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,is
mi,me
pero,but
sí,yes
si,yes
bien,well
eso,that
su,his
las,the
yo,I
del,of the
como,as
aquí,here
tu,you
al,to the
más,plus
le,you
esto,this
todo,all
ya,already
estoy,am
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,we go
algo,something
hay,there are
bueno,Okay
tengo,I have
él,the
cuando,when
estás,these
sé,I know
tú,you
nos,us
nada,any
cómo,how
este,East
o,or
he,I
ser,to be
tiene,have
puedo,may l
ella,she
quiero,I want
hacer,do
fue,was
gracias,thanks
vez,time
era,was
soy,I am
sólo,single
todos,everybody
porque,why
son,They are
tienes,you have
creo,I think
voy,I go
sabes,you know
estaba,I was
puede,may
eres,you are
ese,that
usted,you
entonces,so
hola,Hi there
solo,single
verdad,truth
casa,House
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
dónde,where
va,goes
oh,oh
favor,favor
mucho,much
mí,my
quieres,you want
siento,sorry
señor,Mr
mejor,best
hace,does
has,you
decir,tell
también,too
sobre,on
dios,God
sin,without
tenemos,we have
están,is it so
ti,you
puedes,you can
ver,watch
hombre,man
vida,lifetime
alguien,someone
cosas,stuff
siempre,always
hasta,until
ahí,there
ir,to go
años,years
antes,before
estar,to be
ni,neither
poco,little bit
día,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,work
nosotros,we
parece,It seems
gente,people
sea,be
padre,father
mira,look
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,might
hablar,talk
vas,you go
ellos,they
sr.,Mr.
tal,such
pasa,pass
fuera,outside
después,then
han,They have
desde,since
dinero,money
mundo,world
claro,Sure
momento,moment
les,them
tener,to have
estado,state
otro,other
había,there were
mañana,tomorrow
tenía,I had
madre,mother
vale,okay
lugar,place
haciendo,doing
donde,where
seguro,safe
sabe,knows
podemos,we can
tus,your
espera,wait
nuevo,new
sido,been
cosa,thing
hijo,son
allí,there
menos,less
tipo,kind
amigo,friend
gran,great
nuestro,our
mujer,woman
mamá,mom
luego,then
papá,dad
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,said
oye,hears
gusta,like
quería,wanted to
será,be
haber,to have
parte,part
todas,all
crees,think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,should
